Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
12.01.2021;21:00;18,0;41,8;0,28;0,92;9,3;7,1;3,0;1013
12.01.2021;22:00;12,7;34,2;0,22;0,78;9,6;6,1;2,8;1014
12.01.2021;23:00;22,4;46,1;0,28;0,82;9,0;5,8;2,6;1016
12.01.2021;24:00;24,0;44,1;0,26;1,06;8,8;6,2;1,7;1016
13.01.2021;01:00;12,7;32,0;0,18;0,73;10,2;7,0;1,6;1017
13.01.2021;02:00;9,5;30,2;0,14;0,67;10,6;7,6;1,2;1017
13.01.2021;03:00;5,3;29,2;0,14;0,60;10,9;7,6;0,8;1017
13.01.2021;04:00;3,0;24,8;0,12;0,64;8,3;5,8;1,0;1017
13.01.2021;05:00;3,5;16,2;0,09;0,46;6,6;4,6;1,0;1018
13.01.2021;06:00;11,6;25,4;0,14;0,47;7,4;4,7;0,6;1018
13.01.2021;07:00;26,2;42,0;0,22;0,65;7,6;5,0;0,6;1018
13.01.2021;08:00;42,6;49,9;0,31;1,09;8,4;5,9;0,7;1018
13.01.2021;09:00;39,0;49,4;0,30;1,06;8,4;6,2;0,8;1018
13.01.2021;10:00;46,2;51,8;0,26;1,25;10,0;7,4;1,0;1018
13.01.2021;11:00;47,2;44,8;0,31;-;11,0;8,7;2,2;1018
13.01.2021;12:00;35,4;39,6;0,26;-;10,0;7,7;3,0;1018
13.01.2021;13:00;35,0;42,2;0,25;-;9,2;7,0;4,0;1018
13.01.2021;14:00;21,7;28,1;0,21;-;7,1;5,2;4,4;1017
13.01.2021;15:00;28,8;36,9;0,24;0,78;5,6;4,2;4,3;1016
13.01.2021;16:00;37,0;44,8;0,30;0,95;6,3;4,8;4,0;1016
13.01.2021;17:00;45,2;56,3;0,38;1,26;7,9;5,7;3,4;1015
13.01.2021;18:00;46,6;61,8;0,42;1,13;9,4;6,6;2,9;1014
13.01.2021;19:00;51,2;69,0;0,51;1,56;11,2;8,5;2,6;1014
13.01.2021;20:00;36,4;60,1;0,38;1,46;11,4;9,0;2,4;1014
13.01.2021;21:00;24,6;57,0;0,35;1,50;11,8;10,0;2,4;1014
13.01.2021;22:00;27,4;56,6;0,31;1,20;11,7;10,2;2,7;1014
13.01.2021;23:00;10,6;27,6;0,16;0,94;10,4;9,0;3,4;1014
13.01.2021;24:00;7,0;24,6;0,14;0,59;10,1;8,0;3,5;1014
14.01.2021;01:00;3,5;17,4;0,12;0,52;9,2;7,1;3,6;1014
14.01.2021;02:00;3,0;17,0;0,12;0,46;8,5;6,4;3,5;1014
14.01.2021;03:00;1,5;16,4;0,12;0,50;9,5;7,5;3,6;1015
14.01.2021;04:00;1,5;10,9;0,12;0,55;10,7;7,5;3,3;1016
14.01.2021;05:00;4,8;13,2;0,13;0,55;10,4;7,2;3,0;1016
14.01.2021;06:00;17,6;22,3;0,21;0,66;8,2;5,1;2,5;1017
14.01.2021;07:00;52,7;40,7;0,32;0,98;8,0;4,2;2,2;1017
